id,name,time_submit,time_start,time_end,user,group,time_limit,required_cpus,used portion of time limit,avg_aborted_task,Average congestion,Average cpus,Duration (minutes),Wait time / time limit,Average time_limit,task_time,state
 fen1.bg.cmc.msu.ru.10916114, fen1.bg.cmc.msu.ru.10916114,2017-01-01 04:50,2017-01-01 04:50,2017-01-02 02:36,pseudo_cluster_user_1,pseudo_cluster_group_1,1440,1024,0.182,0.234,582.846,512.582,714.294,0.287,1075.579,1306, Removed
 fen1.bg.cmc.msu.ru.10916115, fen1.bg.cmc.msu.ru.10916115,2017-01-01 06:07,2017-01-01 06:07,2017-01-01 06:08,pseudo_cluster_user_2,pseudo_cluster_group_2,15,128,0.125,0.071,1.339,155.429,130.629,10.722,64.726,1, Completed
 fen1.bg.cmc.msu.ru.10916116, fen1.bg.cmc.msu.ru.10916116,2017-01-01 06:13,2017-01-01 06:13,2017-01-01 06:13,pseudo_cluster_user_2,pseudo_cluster_group_2,15,128,0.125,0.071,1.339,155.429,130.629,10.722,64.726,0, Completed
 fen1.bg.cmc.msu.ru.10916117, fen1.bg.cmc.msu.ru.10916117,2017-01-01 06:15,2017-01-01 06:15,2017-01-01 06:18,pseudo_cluster_user_2,pseudo_cluster_group_2,15,128,0.125,0.071,1.339,155.429,130.629,10.722,64.726,3, Completed
 fen1.bg.cmc.msu.ru.10916118, fen1.bg.cmc.msu.ru.10916118,2017-01-01 06:22,2017-01-01 10:44,2017-01-01 10:46,pseudo_cluster_user_2,pseudo_cluster_group_2,5,512,0.125,0.071,1.339,155.429,130.629,10.722,64.726,2, Completed
 fen1.bg.cmc.msu.ru.10916119, fen1.bg.cmc.msu.ru.10916119,2017-01-01 07:05,2017-01-01 07:05,2017-01-01 07:20,pseudo_cluster_user_2,pseudo_cluster_group_2,15,32,0.125,0.071,1.339,155.429,130.629,10.722,64.726,15, Removed
 fen1.bg.cmc.msu.ru.10916120, fen1.bg.cmc.msu.ru.10916120,2017-01-01 07:06,2017-01-01 07:06,2017-01-01 07:36,pseudo_cluster_user_2,pseudo_cluster_group_2,30,32,0.125,0.071,1.339,155.429,130.629,10.722,64.726,30, Removed
 fen1.bg.cmc.msu.ru.10916121, fen1.bg.cmc.msu.ru.10916121,2017-01-01 13:04,2017-01-01 13:04,2017-01-02 13:04,pseudo_cluster_user_1,pseudo_cluster_group_1,1440,512,0.182,0.234,582.846,512.582,714.294,0.287,1075.579,1440, Removed
 fen1.bg.cmc.msu.ru.10916122, fen1.bg.cmc.msu.ru.10916122,2017-01-01 13:19,2017-01-01 13:19,2017-01-01 19:19,pseudo_cluster_user_3,pseudo_cluster_group_3,360,256,0.127,0.52,16.763,96.373,73.092,0.155,149.144,360, Removed
 fen1.bg.cmc.msu.ru.10916123, fen1.bg.cmc.msu.ru.10916123,2017-01-01 14:29,2017-01-01 14:29,2017-01-01 14:30,pseudo_cluster_user_4,pseudo_cluster_group_4,15,32,0.099,0.023,0.01,102.698,4.25,0.105,16.93,1, Completed
 fen1.bg.cmc.msu.ru.10916124, fen1.bg.cmc.msu.ru.10916124,2017-01-01 14:29,2017-01-01 14:29,2017-01-01 14:30,pseudo_cluster_user_4,pseudo_cluster_group_4,15,32,0.099,0.023,0.01,102.698,4.25,0.105,16.93,1, Completed
 fen1.bg.cmc.msu.ru.10916125, fen1.bg.cmc.msu.ru.10916125,2017-01-01 14:32,2017-01-01 14:32,2017-01-01 14:37,pseudo_cluster_user_4,pseudo_cluster_group_4,15,32,0.099,0.023,0.01,102.698,4.25,0.105,16.93,5, Completed
 fen1.bg.cmc.msu.ru.10916126, fen1.bg.cmc.msu.ru.10916126,2017-01-01 14:38,2017-01-01 14:38,2017-01-01 14:41,pseudo_cluster_user_4,pseudo_cluster_group_4,15,32,0.099,0.023,0.01,102.698,4.25,0.105,16.93,3, Completed
 fen1.bg.cmc.msu.ru.10916127, fen1.bg.cmc.msu.ru.10916127,2017-01-01 17:46,2017-01-01 17:47,2017-01-01 17:48,pseudo_cluster_user_4,pseudo_cluster_group_4,15,64,0.099,0.023,0.01,102.698,4.25,0.105,16.93,1, Completed
 fen1.bg.cmc.msu.ru.10916128, fen1.bg.cmc.msu.ru.10916128,2017-01-01 17:46,2017-01-01 17:50,2017-01-01 17:51,pseudo_cluster_user_4,pseudo_cluster_group_4,15,128,0.099,0.023,0.01,102.698,4.25,0.105,16.93,1, Completed
 fen1.bg.cmc.msu.ru.10916129, fen1.bg.cmc.msu.ru.10916129,2017-01-01 17:47,2017-01-01 17:47,2017-01-01 17:49,pseudo_cluster_user_4,pseudo_cluster_group_4,15,64,0.099,0.023,0.01,102.698,4.25,0.105,16.93,2, Completed
 fen1.bg.cmc.msu.ru.10916130, fen1.bg.cmc.msu.ru.10916130,2017-01-01 17:47,2017-01-01 17:51,2017-01-01 17:52,pseudo_cluster_user_4,pseudo_cluster_group_4,15,128,0.099,0.023,0.01,102.698,4.25,0.105,16.93,1, Completed
 fen1.bg.cmc.msu.ru.10916131, fen1.bg.cmc.msu.ru.10916131,2017-01-01 17:49,2017-01-01 17:52,2017-01-01 17:53,pseudo_cluster_user_4,pseudo_cluster_group_4,15,128,0.099,0.023,0.01,102.698,4.25,0.105,16.93,1, Completed
 fen1.bg.cmc.msu.ru.10916132, fen1.bg.cmc.msu.ru.10916132,2017-01-01 20:57,2017-01-01 20:59,2017-01-01 21:00,pseudo_cluster_user_5,pseudo_cluster_group_1,15,64,0.621,0.122,0.198,144.938,39.281,2.774,10.371,1, Completed
 fen1.bg.cmc.msu.ru.10916133, fen1.bg.cmc.msu.ru.10916133,2017-01-01 21:14,2017-01-01 21:14,2017-01-01 21:15,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,1, Completed
 fen1.bg.cmc.msu.ru.10916134, fen1.bg.cmc.msu.ru.10916134,2017-01-01 21:14,2017-01-01 21:14,2017-01-01 21:15,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,1, Completed
 fen1.bg.cmc.msu.ru.10916135, fen1.bg.cmc.msu.ru.10916135,2017-01-01 21:14,2017-01-01 21:15,2017-01-01 21:15,pseudo_cluster_user_5,pseudo_cluster_group_1,15,64,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916136, fen1.bg.cmc.msu.ru.10916136,2017-01-01 21:15,2017-01-01 21:15,2017-01-01 21:15,pseudo_cluster_user_5,pseudo_cluster_group_1,15,128,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916137, fen1.bg.cmc.msu.ru.10916137,2017-01-01 21:15,2017-01-01 21:15,2017-01-01 21:27,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,12, Completed
 fen1.bg.cmc.msu.ru.10916138, fen1.bg.cmc.msu.ru.10916138,2017-01-01 21:15,2017-01-01 21:16,2017-01-01 21:17,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,1, Completed
 fen1.bg.cmc.msu.ru.10916139, fen1.bg.cmc.msu.ru.10916139,2017-01-01 21:15,2017-01-01 21:17,2017-01-01 21:18,pseudo_cluster_user_5,pseudo_cluster_group_1,15,64,0.621,0.122,0.198,144.938,39.281,2.774,10.371,1, Completed
 fen1.bg.cmc.msu.ru.10916140, fen1.bg.cmc.msu.ru.10916140,2017-01-01 21:15,2017-01-01 21:18,2017-01-01 21:18,pseudo_cluster_user_5,pseudo_cluster_group_1,15,128,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
