time_limit,required_cpus,task_time
1440,1024,1305.99999999278
15,128,1.00000000325963
15,128,0
15,128,2.99999999930151
5,512,1.99999999604188
15,32,14.9999999965075
30,32,30.0000000034925
1440,512,1440
360,256,360
15,32,0.99999999278225
15,32,0.99999999278225
15,32,4.99999999534339
15,32,2.99999999930151
15,64,1.00000000325963
15,128,1.00000000325963
15,64,1.99999999604188
15,128,0.99999999278225
15,128,1.00000000325963
15,64,1.00000000325963
15,32,0.99999999278225
15,32,0.99999999278225
15,64,0
15,128,0
15,32,12.0000000076834
15,32,1.00000000325963
15,64,0.99999999278225
15,128,0
15,32,15.0000000069849
15,32,14.9999999965075
15,64,3.99999999208376
15,128,2.00000000651926
15,32,14.9999999965075
15,32,11.999999997206
15,64,2.00000000651926
15,128,1.00000000325963
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0.99999999278225
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,1.00000000325963
15,32,1.00000000325963
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0.99999999278225
15,32,0.99999999278225
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,1.00000000325963
15,32,0
15,128,11.999999997206
15,128,7.00000000186265
15,128,14.9999999965075
15,128,15.0000000069849
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,1.00000000325963
15,32,0
15,32,0
15,32,1.00000000325963
15,32,0
15,32,0
15,32,0.99999999278225
15,32,0.99999999278225
15,32,0
15,32,0
15,32,0
15,32,0
15,32,1.00000000325963
15,32,1.00000000325963
15,32,0
15,32,0
90,32,90
3,32,1.00000000325963
3,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,1.00000000325963
15,32,0
15,32,0
15,32,0
15,32,0
15,32,1.00000000325963
15,32,0
15,32,1.00000000325963
15,32,0
15,32,0.99999999278225
15,32,0
15,32,0
15,32,0
15,32,1.00000000325963
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,1.00000000325963
15,32,0
15,32,0
15,32,0
15,32,0
15,32,1.00000000325963
15,32,1.00000000325963
15,32,1.00000000325963
15,32,0
15,32,0
15,32,0
15,32,0
15,32,1.00000000325963
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,1.00000000325963
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0.99999999278225
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,1.00000000325963
15,32,1.00000000325963
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0.99999999278225
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
3,32,0.99999999278225
15,32,0
15,32,0
15,32,0
15,32,0
3,128,0
3,128,2.99999999930151
15,32,0.99999999278225
15,32,0
15,32,0.99999999278225
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,32,0
15,64,0.99999999278225
15,64,0.99999999278225
15,64,0
15,64,0
15,64,1.00000000325963
15,64,1.00000000325963
15,128,0
15,128,0
15,128,0
15,128,0
15,128,1.00000000325963
15,128,1.00000000325963
15,128,0
15,128,14.9999999965075
15,128,14.9999999965075
15,128,14.9999999965075
15,64,14.9999999965075
15,32,0
15,128,0
15,64,14.9999999965075
15,32,0
15,128,13.0000000004657
15,128,14.9999999965075
15,128,15.0000000069849
15,128,15.0000000069849
15,32,0
15,128,15.0000000069849
15,128,14.9999999965075
15,128,14.9999999965075
15,128,0
15,128,14.0000000037253
15,64,1.00000000325963
3,32,0
1440,1024,119.000000000233
15,128,14.9999999965075
15,128,14.9999999965075
15,128,15.0000000069849
15,128,15.9999999997672
3,32,2.99999999930151
3,32,1.00000000325963
15,32,10.0000000011642
0,256,0
1440,1024,1440
720,256,91.9999999960419
0,256,0
0,256,1.00000000325963
0,256,0
0,256,0
0,256,0.99999999278225
0,256,0
0,512,0.99999999278225
0,512,0
0,512,0
0,512,0
0,512,1.00000000325963
120,32,120.000000003492
0,256,0
120,32,27.000000004191
15,128,0
0,256,0
0,256,0.99999999278225
0,256,0
0,256,0
0,256,0
0,256,1.00000000325963
0,512,0
0,512,1.00000000325963
0,512,0
0,512,1.00000000325963
0,512,0
0,512,1.00000000325963
360,256,360
1440,512,0.99999999278225
1440,512,53.9999999979045
0,512,0
0,512,0
0,512,0
0,512,0
0,512,0
10,64,1.00000000325963
10,128,1.99999999604188
5,64,1.00000000325963
5,128,0
5,64,1.99999999604188
5,128,0
5,64,1.00000000325963
5,128,1.00000000325963
0,512,1.00000000325963
0,512,0.99999999278225
0,512,0
0,512,0
0,512,0
0,512,1.00000000325963
5,64,0
5,128,0
5,64,0
5,128,0
5,64,0.99999999278225
5,128,0
5,64,2.00000000651926
5,128,2.00000000651926
0,512,0
5,64,0
5,128,0
0,32,0
5,64,0
5,128,0
5,64,0
5,128,0
5,64,2.00000000651926
5,128,1.00000000325963
0,512,0
0,512,0
0,512,1.00000000325963
0,512,1.00000000325963
0,512,0
5,64,0
5,128,0
5,64,0.99999999278225
5,128,0.99999999278225
5,64,0
5,128,0
5,64,1.99999999604188
5,128,1.00000000325963
0,512,0.99999999278225
5,64,1.00000000325963
5,128,1.00000000325963
5,64,0
5,128,0
5,64,0
5,128,0
5,64,2.99999999930151
5,128,0.99999999278225
5,64,0
5,128,1.00000000325963
3,64,1.00000000325963
0,32,0
0,512,0.99999999278225
0,32,0
0,512,0
5,64,0.99999999278225
5,128,0.99999999278225
5,64,0
5,128,0
5,64,1.00000000325963
5,128,1.99999999604188
5,64,1.00000000325963
5,128,0
0,512,0
5,64,0
5,64,0
5,64,0
5,64,0
5,64,0
5,64,0
5,64,0
5,128,0
5,64,0
5,64,0.99999999278225
5,64,0
5,128,0
3,64,0.99999999278225
3,128,0
5,64,0
5,128,0
5,64,0
5,128,1.00000000325963
5,64,1.00000000325963
5,128,0
3,128,0
