time_limit,required_cpus,task_time,state
1440,1024,1305.99999999278, Removed
15,128,1.00000000325963, Completed
15,128,0, Completed
15,128,2.99999999930151, Completed
5,512,1.99999999604188, Completed
15,32,14.9999999965075, Removed
30,32,30.0000000034925, Removed
1440,512,1440, Removed
360,256,360, Removed
15,32,0.99999999278225, Completed
15,32,0.99999999278225, Completed
15,32,4.99999999534339, Completed
15,32,2.99999999930151, Completed
15,64,1.00000000325963, Completed
15,128,1.00000000325963, Completed
15,64,1.99999999604188, Completed
15,128,0.99999999278225, Completed
15,128,1.00000000325963, Completed
15,64,1.00000000325963, Completed
15,32,0.99999999278225, Completed
15,32,0.99999999278225, Completed
15,64,0, Completed
15,128,0, Completed
15,32,12.0000000076834, Completed
15,32,1.00000000325963, Completed
15,64,0.99999999278225, Completed
15,128,0, Completed
15,32,15.0000000069849, Removed
15,32,14.9999999965075, Removed
15,64,3.99999999208376, Completed
15,128,2.00000000651926, Completed
15,32,14.9999999965075, Removed
15,32,11.999999997206, Completed
15,64,2.00000000651926, Completed
15,128,1.00000000325963, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0.99999999278225, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,1.00000000325963, Completed
15,32,1.00000000325963, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0.99999999278225, Completed
15,32,0.99999999278225, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,1.00000000325963, Completed
15,32,0, Completed
15,128,11.999999997206, Completed
15,128,7.00000000186265, Completed
15,128,14.9999999965075, Removed
15,128,15.0000000069849, Removed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,1.00000000325963, Completed
15,32,0, Completed
15,32,0, Completed
15,32,1.00000000325963, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0.99999999278225, Completed
15,32,0.99999999278225, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,0, Completed
15,32,1.00000000325963, Completed
15,32,1.00000000325963, Completed
15,32,0, Completed
15,32,0, Completed
90,32,90, Removed
